Lp;Nr paczki;Wysokość (cm);Szerokość (cm);Długość (cm);Waga (kg)
133;8JTR4;10;9;9;15
134;TK6WG;15;8;8;3
135;F2NWR;10;16;16;8
136;LBUQU;18;28;28;6
137;PLPHK;16;29;29;2
138;WJHQ3;14;28;28;13
139;GNB26;23;27;27;7
140;6LG38;15;9;9;0
141;P9Z4V;15;8;8;9
142;GEW3V;15;29;29;10
143;GH8WQ;28;26;26;9
144;HKYRZ;15;29;29;11
145;SYETQ;16;8;8;3
146;BQ3JH;13;25;25;4
147;2YGRS;27;13;13;14
148;3YXQR;5;13;13;1
149;KWZHK;26;11;11;1
150;FRU68;13;30;30;5
151;LNWQ8;6;19;19;9
152;DSN72;25;12;12;13
153;WXR5E;24;12;12;15
154;9X5XD;11;28;28;7
155;M82CG;28;24;24;13
156;BHYVD;11;16;16;4
157;X7SKN;23;18;18;8
158;QP74L;6;29;29;15
159;YR9FL;9;20;20;9
160;EF9A4;28;13;13;4
161;CM34P;30;28;28;4
162;95XYR;5;18;18;4
163;3MPKX;19;19;19;15
164;42CZV;19;30;30;12
165;PPCPU;12;22;22;7
166;NT2NT;20;29;29;6
167;UQ7MK;18;9;9;2
168;MMFBC;23;15;15;2
169;X4PCE;29;5;5;1
170;C76EW;22;6;6;6
171;RUCU9;13;20;20;2
172;X9SPM;30;15;15;13
173;C94AM;28;20;20;6
174;DMZKN;11;13;13;2
175;38HGB;6;7;7;0
176;MK8JP;16;30;30;10
177;UZ9XL;12;28;28;6
178;9LKRZ;25;12;12;2
179;WUZRV;14;26;26;7
180;DV856;27;22;22;9
181;MW5U5;5;27;27;11
182;67E4F;7;19;19;7
183;UP7UC;19;14;14;6
184;HTNTB;18;8;8;1
185;EGW5X;21;16;16;8
186;H8KG3;18;7;7;2
187;FTQBD;21;23;23;8
188;L7BR2;11;24;24;2
189;GCGEW;13;17;17;15
190;JNGX7;15;28;28;8
191;J3E7W;13;5;5;15
192;3EVDL;27;24;24;9
193;NJ55L;27;10;10;10
194;9FHAW;16;9;9;4
195;AHYGN;21;30;30;6
196;MQ2UE;21;21;21;6
197;Y474Z;17;24;24;1
198;UW6FZ;8;24;24;14
199;HUADQ;29;22;22;12
200;LCWUC;25;10;10;11
201;JUL93;15;25;25;9
202;YMJR7;10;24;24;14
203;NF2LA;22;12;12;7
204;S6WPC;29;17;17;9
205;NWXPZ;10;21;21;8
206;EZ32L;7;11;11;6
207;6B7GA;21;18;18;10
208;Y7N8N;10;18;18;8
209;LMTCX;11;28;28;3
210;UVUHA;6;17;17;1
211;XVXMA;6;11;11;0
212;NR2GJ;7;24;24;2
213;DDKAL;25;15;15;0
214;LYHYX;10;10;10;13
215;VABFD;30;11;11;9
216;YZZK8;23;6;6;12
217;Z9UPL;24;7;7;5
218;V34MA;13;22;22;12
219;CQDNR;6;14;14;11
220;QYGXN;28;17;17;6
221;5KP7R;5;14;14;7
222;SVGH7;21;24;24;11
223;F962N;19;15;15;9
224;HMGCZ;21;12;12;9
225;HFGMT;27;25;25;5
226;X3H5R;29;9;9;10
227;VZ2BW;22;15;15;7
228;HTJQ3;6;7;7;11
229;FW3CP;21;21;21;6
230;GL2PN;15;23;23;10
231;SWTYA;25;15;15;10
232;CM3LH;22;16;16;4
233;K78B9;24;26;26;14
234;VKS52;11;12;12;15
235;LBPEE;26;17;17;12
236;4LQVZ;5;13;13;5
237;5DNN3;23;6;6;11
238;NRFG3;21;30;30;2
239;NRZMT;26;5;5;12
240;Y85H4;10;17;17;3
241;WU5CY;16;22;22;3
242;96AQS;17;27;27;3
243;2KVFY;15;5;5;15
244;PUFU2;24;25;25;1
245;99JYL;11;11;11;3
246;4PKYW;24;21;21;8
247;DLH9N;21;13;13;8
248;79K8P;6;5;5;10
249;3YYP6;19;15;15;9
250;N4QUP;26;11;11;3
251;HTNRJ;12;11;11;0
252;ZLXAA;29;5;5;0
253;LEMTE;9;24;24;10
254;ZRDBP;13;30;30;0
255;S5EHJ;18;30;30;0
256;AVCQG;15;8;8;14
257;RXZ6F;29;6;6;4
258;AVRYW;27;29;29;15
259;RA34U;20;19;19;8
260;7UBAW;21;6;6;1
261;QTRU2;18;20;20;2
262;ZVN4C;9;8;8;10
263;ULZLG;20;22;22;5
264;7L4NB;23;28;28;10
265;R6BJZ;5;6;6;12
266;WGKXH;30;23;23;10
267;7E3NZ;13;19;19;9
268;TEL89;28;30;30;1
269;NTKE5;15;23;23;15
270;SBGMQ;14;10;10;14
271;H4LKD;6;29;29;10
272;B7LMV;30;24;24;6
273;TKZLY;26;22;22;5
274;R6444;29;21;21;11
275;4HMDM;13;17;17;15
276;HWPQ9;14;13;13;4
277;5Y3G9;28;24;24;4
278;7J7HW;24;11;11;10
279;S27JD;17;9;9;12
280;V2AQU;28;20;20;8
281;5J3HN;14;9;9;11
282;FRAU7;17;10;10;4
283;9QV3X;21;17;17;1
284;VY7S7;11;16;16;4
285;UBYRL;27;5;5;15
286;4DC4T;20;18;18;12
287;WY4P7;12;10;10;10
288;GUNHF;5;17;17;9
289;KGV7A;9;30;30;8
290;KSYGB;5;29;29;2
291;W3CLJ;26;7;7;15
292;NFMQ9;8;17;17;12
293;7DXZT;10;15;15;13
294;V7E9E;13;13;13;9
295;KKM7H;16;15;15;13
296;MGZCP;16;28;28;9
297;3YG5A;25;5;5;14
298;QJF4Z;18;10;10;3
299;FZ55Q;8;11;11;12
300;NRNSQ;7;16;16;9
301;T327Y;19;30;30;5
302;9J7ZL;20;7;7;4
303;LSBSN;8;14;14;8
304;B8XH3;28;8;8;14
305;NPSHK;18;23;23;13
306;8W2ME;9;21;21;6
307;H68A3;26;18;18;10
308;X9CUZ;13;22;22;0
309;P6JQP;8;25;25;13
310;XSNL2;19;29;29;5
311;FZGX9;21;15;15;1
312;RWVH9;16;7;7;2
313;2R6YR;9;8;8;0
314;YMR38;20;14;14;15
315;HH5RY;21;30;30;6
316;JEGWR;13;26;26;6
317;93GFR;17;25;25;1
318;GWD36;15;29;29;13
319;DTMAJ;25;20;20;1
320;5ZWLS;30;12;12;8
321;UTZQB;19;8;8;10
322;PYFWM;24;14;14;4
323;XVE53;8;13;13;6
324;WBQ25;20;16;16;7
325;L6PY6;30;20;20;12
326;XTVL5;13;21;21;9
327;E7P6M;12;29;29;2
328;QKBW8;22;20;20;0
329;NKUTF;18;26;26;10
330;MGH38;21;13;13;14
331;DE4S4;20;28;28;1
332;ZGNLS;27;18;18;0
333;JRPXM;15;24;24;13
334;2EW42;16;29;29;2
335;VHCF3;13;7;7;9
336;HT9RL;18;24;24;10
337;8UR3D;17;5;5;6
338;KSKY4;21;27;27;13
339;48KHW;9;10;10;3
340;XA2K5;20;12;12;0
341;T7CVC;17;20;20;5
342;65V6M;13;19;19;9
343;848PV;17;20;20;9
344;BZDLP;26;11;11;3
345;8FNJN;22;30;30;5
346;A7P3H;10;11;11;4
347;JLEM8;28;22;22;10
348;HJ44E;10;9;9;7
349;F38EG;12;9;9;11
350;UF7YS;26;16;16;15
351;MXXZ8;20;15;15;13
352;BZ5RT;11;10;10;5
353;D26JD;27;13;13;6
354;4RMXL;28;26;26;11
355;R5DQ9;23;17;17;6
356;KBEHZ;18;25;25;12
357;XUPLK;19;7;7;12
358;MNBG5;11;18;18;2
359;ULVQU;21;21;21;5
360;ZKCD8;16;29;29;2
361;NU4SB;16;19;19;14
362;33D8B;15;27;27;1
363;4VVH7;23;21;21;13
364;7UL83;17;12;12;13
365;FSE39;12;10;10;4
366;YSJ3V;8;10;10;12
367;HFGBX;21;20;20;4
368;J5RM3;5;17;17;2
369;SGPEQ;11;10;10;4
370;MCBXA;5;18;18;15
371;55T9W;17;29;29;9
372;SYF2R;24;18;18;12
373;39XAB;10;30;30;2
374;LK64X;8;29;29;4
375;XM5DS;11;29;29;5
376;LQUND;29;29;29;0
377;UH9EH;26;19;19;0
378;WW83P;13;11;11;14
379;PVPDW;22;8;8;12
380;QQ7MJ;21;25;25;15
381;UAWQE;16;27;27;14
382;E2UYF;10;11;11;1
383;YKPXP;8;8;8;11
384;WKCUD;21;14;14;9
385;RAY7D;28;6;6;6
386;MNTJZ;30;18;18;8
387;452QK;14;14;14;11
388;6UCQK;6;24;24;2
389;HFUW4;28;22;22;7
390;AKEC6;25;29;29;11
391;HU78R;21;14;14;13
392;BK6VU;24;17;17;14
393;VPPM6;11;30;30;13
394;YJQ2Z;16;8;8;6
395;2A6MX;17;18;18;4
396;ZM95P;12;28;28;2
397;6CA3B;14;11;11;8
398;S4LNQ;27;5;5;8
399;695KM;25;28;28;12
400;ZAVG2;21;13;13;6
401;M93HL;18;18;18;14
402;R8XQ3;20;21;21;1
403;DL6EE;16;5;5;4
404;7W9JA;20;5;5;8
405;PE9KQ;11;11;11;1
406;MBQ9J;18;11;11;7
407;HLHAT;20;22;22;12
408;TRSH8;24;18;18;11
409;LMKHR;10;23;23;15
410;PEDNN;12;26;26;11
411;E4TED;20;11;11;12
412;9REPQ;7;29;29;12
413;NW3WW;21;27;27;0
414;MGE5P;28;20;20;6
415;DG3NP;29;12;12;10
416;K4UPH;13;27;27;9
417;8TBSX;19;18;18;12
418;FREK6;20;9;9;10
419;VYSNL;24;17;17;10
420;FZSLV;5;6;6;6
421;8Q324;22;7;7;8
422;HBX3Q;28;12;12;2
423;62A7J;30;30;30;4
424;XDZ4N;21;23;23;7
425;WQDF4;26;9;9;15
426;QLU9X;26;15;15;0
427;G8D9Y;13;18;18;14
428;8HZVA;7;18;18;0
429;GR2GP;17;15;15;0
430;A6S2Z;24;17;17;2
431;7NFBT;6;23;23;6
432;AR6UR;12;23;23;5
433;U3PX3;15;12;12;11
434;DWA5J;18;16;16;2
435;ACZ3K;27;23;23;13
436;F3FYU;18;29;29;7
437;6W8CX;19;23;23;11
438;SCFNX;13;16;16;12
439;X8QCW;27;30;30;14
440;HGJHC;7;23;23;14
441;SJEJB;19;27;27;15
442;PQ5VF;30;7;7;5
443;PS3NV;24;13;13;7
444;R6XXJ;23;24;24;12
445;MMH3P;24;29;29;3
446;5BWEK;15;11;11;1
447;YXU48;7;27;27;6
448;VJPR6;21;8;8;4
449;U7PNK;15;11;11;3
450;A6FYU;5;26;26;4
451;PB7X5;26;15;15;12
452;LS78X;13;28;28;15
453;GXL3S;5;5;5;0
454;KP2Y6;27;16;16;9
455;XJ3CX;30;28;28;7
456;CDTH3;16;6;6;12
457;DX4AL;10;16;16;9
458;XM5UL;14;28;28;8
459;S395U;22;23;23;8
460;RE9J5;29;29;29;14
461;68DYA;21;9;9;10
462;32DLA;18;12;12;0
463;6QYZR;8;9;9;10
464;BN469;27;24;24;10
465;FP3FK;12;16;16;3
466;MXPM7;16;25;25;8
467;JJ5N8;29;18;18;11
468;6GYAT;16;20;20;5
469;Z79PW;20;26;26;12
470;RRBLN;13;25;25;5
471;BR34W;17;10;10;15
472;CGLSU;27;18;18;12
473;H34DG;12;10;10;6
474;2ANRB;15;30;30;14
475;7H87X;11;14;14;2
476;VNEXY;23;22;22;1
477;SZGLT;14;25;25;4
478;5N2F7;27;13;13;14
479;MPYFT;22;10;10;9
480;78UKQ;29;21;21;5
481;VHYUE;14;24;24;9
482;MGTS5;11;9;9;10
483;JAVRM;12;20;20;9
484;FL27S;6;17;17;14
485;XJ7NQ;22;13;13;1
486;RKPBV;5;21;21;4
487;6X5UH;19;21;21;5
488;A7PTQ;18;20;20;10
489;K4R6K;16;23;23;14
490;4CVU9;27;18;18;12
491;EJJBW;23;20;20;9
492;ZT8FU;22;25;25;7
493;UBHPV;17;14;14;9
494;RPT79;26;5;5;10
495;9G3QD;25;24;24;5
496;DKFZ5;16;25;25;1
497;F5DQ7;30;5;5;11
498;2GQZM;13;20;20;6
499;BLNJ2;20;16;16;2
500;A2FUX;27;14;14;13
501;FU59B;23;27;27;1
502;9CLF3;19;21;21;12
503;FMXK3;5;17;17;0
504;UC9A4;20;11;11;13
505;MBE2L;11;22;22;5
506;62DCM;16;5;5;14
507;2H7WH;5;19;19;12
508;8WLJ3;24;5;5;1
509;EQE32;9;28;28;2
510;8M57N;14;30;30;2
511;XJQ3A;25;12;12;12
512;3X36Z;17;11;11;7
513;EX9CK;25;30;30;11
514;HB7TK;25;23;23;13
515;ZX25R;7;19;19;15
516;T35NZ;23;22;22;10
517;HBAY4;24;20;20;9
518;BRS4N;15;29;29;1
519;J9BHC;15;20;20;8
520;MRDKA;12;25;25;6
521;PAYF5;12;19;19;7
522;GZXBD;11;14;14;7
523;NKEP9;6;15;15;8
524;9QRRK;15;14;14;13
525;52J79;19;29;29;3
526;LJQPU;8;30;30;5
527;R4UGA;25;26;26;10
528;QNZDP;6;10;10;12
529;5SY97;14;19;19;10
530;Y9MFR;28;9;9;11
531;WBH79;5;22;22;4
532;HJJYY;29;12;12;12
533;4FSNM;22;13;13;14
534;T42K8;29;13;13;11
535;FEQ6E;16;20;20;1
536;NVD22;9;13;13;14
537;VP44L;25;19;19;9
538;3CVB2;22;16;16;6
539;K584J;15;19;19;14
540;KMDCW;5;18;18;13
541;BJ2SE;29;25;25;3
542;66ZAW;28;13;13;7
543;SVCLQ;17;16;16;11
544;NES9G;27;6;6;2
545;KKCHD;5;5;5;15
546;LTQPV;22;18;18;11
547;DR559;9;29;29;9
548;A25Z3;22;8;8;14
549;SJPUV;6;18;18;7
550;59ZN9;7;11;11;11
551;8XJA6;10;30;30;3
552;MMP42;17;9;9;10
553;A7H63;7;5;5;10
554;H6UCW;7;5;5;0
555;MV63F;21;10;10;2
556;SWFJB;19;13;13;9
557;EGZNG;5;19;19;13
558;V2TBV;6;14;14;3
559;LCSU8;10;16;16;15
560;L3576;11;16;16;2
561;RKRNC;16;23;23;2
562;X6Z4E;28;22;22;14
563;28LRM;28;12;12;8
564;TDEDE;27;14;14;13
565;ZQHJA;16;27;27;14
566;GV4BS;27;11;11;10
567;ZS3G6;16;7;7;13
568;563VY;6;14;14;11
569;7MXJ5;28;17;17;8
570;B49F8;8;13;13;15
571;E7NMG;20;24;24;12
572;PT3HV;20;20;20;9
573;K8DDF;6;17;17;6
574;A9C4U;6;24;24;14
575;228QA;11;13;13;6
576;3S53X;9;14;14;5
577;37VFJ;17;22;22;15
578;3U4U4;22;15;15;11
579;P63T9;15;22;22;7
580;9T9BM;22;27;27;3
581;T4DSJ;17;12;12;8
582;EL2AD;11;28;28;12
583;Q3AC9;30;29;29;11
584;J5UDQ;6;16;16;12
585;PSLGB;20;23;23;10
586;LFVKG;12;29;29;7
587;95BDM;23;5;5;3
588;KJXCJ;6;15;15;9
589;2TC2V;25;22;22;2
590;BBRWE;10;9;9;15
591;8BXJH;27;6;6;6
592;ZVPL7;9;25;25;15
593;WK2XN;10;18;18;7
594;E9X3C;28;26;26;1
595;7UV9M;8;11;11;7
596;HBPZX;10;21;21;4
597;UXYH8;14;13;13;4
598;88TMJ;27;16;16;5
599;R9UJX;19;19;19;2
600;9NWWG;5;27;27;6
601;YU3LT;22;28;28;1
602;ETVTK;10;5;5;10
603;JE89M;15;6;6;11
604;77LQK;8;25;25;15
605;V8JFG;21;12;12;8
606;7FVU3;14;5;5;10
607;4JMVV;29;28;28;0
608;72FSL;22;18;18;7
609;Q3QP2;25;15;15;2
610;3LXD3;13;14;14;6
611;9ZZH6;11;6;6;6
612;8FBT2;16;14;14;9
613;5MAH9;18;15;15;15
614;WFZ3Y;30;12;12;14
615;BHRSW;12;11;11;1
616;JK88P;27;8;8;3
617;27ERE;29;10;10;2
618;BPLD9;7;28;28;4
619;C9LDH;15;28;28;6
620;KZNBT;8;5;5;0
621;DD2UV;18;24;24;13
622;P57N3;18;9;9;5
623;MEYSW;21;15;15;13
624;5TBGX;22;16;16;1
625;AJWMN;13;27;27;12
626;6XEKY;21;20;20;11
627;XN4Q9;30;12;12;7
628;P64LK;16;8;8;13
629;VXPKG;30;23;23;9
630;BFZDM;25;10;10;14
631;PEWBR;10;26;26;5
632;B8FFH;20;22;22;12
633;55VXL;16;5;5;9
634;UDHPQ;18;28;28;1
635;SAE8L;15;12;12;5
636;LARBD;29;10;10;13
637;5QJRS;29;7;7;13
638;ZSQ6Y;20;27;27;11
639;Y2UKQ;11;17;17;7
640;76UEK;11;23;23;15
641;AXLEV;8;8;8;4
642;WQVES;29;23;23;10
643;Z999R;22;18;18;2
644;SZA9W;16;14;14;15
645;ZXPL9;13;14;14;2
646;6H5QN;18;27;27;14
647;EQBQV;16;15;15;4
648;XDCJJ;15;6;6;14
649;VAJUA;6;6;6;11
650;2D22C;10;15;15;8
651;PS244;27;14;14;4
652;ZYCUF;27;14;14;14
653;RZWSG;15;7;7;13
654;HGKLR;9;10;10;6
655;U7R4S;22;14;14;15
656;SUVJM;15;13;13;3
657;XX5PS;22;28;28;3
658;YFH3Z;11;24;24;5
659;NJQA3;18;28;28;4
660;XJ99U;19;6;6;11
661;RTS8M;8;27;27;4
662;AR8V2;13;12;12;7
663;KKPFZ;8;5;5;5
664;866FY;16;18;18;5
665;VU9CV;16;22;22;14
666;2Z52Y;17;11;11;5
667;QHJ8G;23;18;18;4
668;W8YUU;11;9;9;1
669;Q655C;6;28;28;12
670;U49RA;23;10;10;11
671;XDUWG;21;28;28;6
672;FP7BG;25;16;16;8
673;WRQ6Q;20;9;9;13
674;XSNMD;30;24;24;0
675;8394X;18;28;28;15
676;CPRB6;6;10;10;14
677;SYACM;11;25;25;14
678;GJ3EL;26;26;26;3
679;924PX;8;25;25;14
680;JDGXQ;13;22;22;5
681;KWHKQ;19;7;7;8
682;6M6NP;27;7;7;2
683;3,60E+40;6;17;17;4
684;RAHJE;27;7;7;15
685;UJ6NY;8;6;6;3
686;UW32L;13;29;29;8
687;HC8RN;22;13;13;14
688;PN2K3;24;23;23;4
689;FDYK6;10;18;18;6
690;X367C;6;23;23;15
691;BRM85;28;25;25;7
692;BSS5K;17;29;29;8
693;4DN3U;30;27;27;9
694;2G9SS;13;24;24;13
695;2YVQA;21;13;13;4
696;SE4PB;27;7;7;10
697;6QTJP;16;27;27;1
698;NK77E;20;7;7;2
699;HZHVS;12;9;9;6
700;4MZ36;23;30;30;9
701;HUU5B;26;27;27;10
702;UNFN4;24;23;23;2
703;HKK2U;16;28;28;15
704;YF5VC;28;15;15;2
705;A53JQ;5;19;19;15
706;LD4B7;15;6;6;15
707;YKRKE;15;28;28;9
708;T6TYK;22;23;23;9
709;M7UWX;13;21;21;10
710;FL4A8;24;5;5;15
711;6B3YL;20;19;19;14
712;HBPCC;22;16;16;0
713;M2N4B;21;17;17;9
714;TN7CC;15;6;6;15
715;HP93C;7;6;6;12
716;X8NS9;28;27;27;5
717;MNBED;13;27;27;13
718;MNE3Q;23;16;16;0
719;HEHV9;19;10;10;0
720;JEMGG;23;24;24;13
721;QPWPH;13;25;25;2
722;YDGDV;18;18;18;14
723;GQAJU;28;19;19;9
724;DW8JP;30;23;23;10
725;PSUWD;18;19;19;13
726;U7J7E;22;23;23;4
727;RMUD3;27;21;21;7
728;447B7;30;7;7;12
729;SHMTS;29;5;5;8
730;8XE77;9;6;6;14
731;TLQE8;22;5;5;10
732;TY64W;15;17;17;3
733;AK9VP;6;27;27;8
734;3PHYQ;11;16;16;15
735;FHYS2;18;9;9;5
736;GQPLN;17;12;12;3
737;M6Y3B;13;24;24;9
738;XMZTF;26;21;21;4
739;MURMF;17;24;24;6
740;6FVE5;14;26;26;8
741;BKD24;17;12;12;15
742;69KLL;5;8;8;14
743;XYGMR;28;14;14;13
744;JB59V;24;27;27;5
745;BMGTY;14;6;6;5
746;NP59U;13;29;29;8
747;ZB653;30;8;8;15
748;YZ29B;27;23;23;12
749;CXZKA;6;13;13;1
750;HTCDT;19;7;7;12
751;XE65Y;9;16;16;8
752;VHEQH;10;28;28;10
753;YGJUB;11;8;8;15
754;BK24J;30;25;25;0
755;477UG;22;13;13;4
756;842B7;10;26;26;2
757;KYCGU;18;19;19;4
758;2346J;12;29;29;14
759;BVQLF;7;7;7;5
760;RMRJG;9;11;11;7
761;2DDYX;18;30;30;4
762;LWRCX;27;29;29;2
763;PNNRV;25;5;5;11
764;9JN3E;13;10;10;12
765;W5ZDF;7;12;12;14
766;7UTN5;23;20;20;4
767;ZE854;19;15;15;5
768;WFRDJ;19;26;26;10
769;FSXUA;19;15;15;8
770;JTJWM;26;7;7;12
771;PKGEN;11;9;9;12
772;NC97Q;10;10;10;11
773;4XV3S;24;20;20;5
774;QPY7T;10;10;10;15
775;8CCVX;8;24;24;10
776;C6GMS;24;23;23;10
777;T2427;30;19;19;4
778;GEAFB;12;19;19;4
779;RAZC4;9;23;23;8
780;HSH7Q;8;27;27;15
781;36S5S;15;23;23;4
782;F8NNK;29;7;7;7
783;78CZY;8;11;11;4
784;A74AD;14;19;19;5
785;6SEVU;15;14;14;10
786;85DG3;9;12;12;9
787;T9XC4;14;9;9;9
788;GJ2UW;6;22;22;12
789;CRUFG;29;21;21;11
790;KGEDH;24;25;25;12
791;JAZNW;17;17;17;14
792;LLRPS;9;14;14;7
793;J8R8B;6;19;19;11
794;LEKDZ;20;28;28;15
795;8FHSM;28;16;16;14
796;P3TU7;26;13;13;11
797;248SG;18;15;15;5
798;U4TCH;21;10;10;13
799;CMGTL;17;30;30;6
800;J6RT9;11;24;24;7
801;GREQA;17;21;21;11
802;S64BQ;28;8;8;14
803;24KZL;26;19;19;14
804;RLFBN;7;11;11;12
805;PD2WX;14;18;18;2
806;D6TUQ;29;11;11;14
807;S38WH;18;22;22;13
808;8FD3G;30;20;20;4
809;UUB5K;21;20;20;4
810;NMVTN;19;23;23;4
811;A8R2U;28;23;23;10
812;E5RXQ;6;20;20;0
813;7FH54;12;7;7;7
814;R49VW;21;11;11;14
815;GFGJA;25;7;7;4
816;RWMCF;9;8;8;8
817;ZCEH5;9;29;29;3
818;ZMZGB;17;22;22;11
819;FEGPA;14;24;24;8
820;B64BR;24;16;16;2
821;QHXWR;8;26;26;3
822;XEEBG;24;29;29;12
823;L3JQA;16;14;14;0
824;EFM5N;29;22;22;9
825;PATVQ;6;20;20;7
826;TXLNY;13;19;19;15
827;448RR;12;7;7;14
828;QFVVG;19;10;10;10
829;479DM;19;29;29;6
830;AHTNC;6;21;21;13
831;83DRP;22;6;6;5
832;TBC6P;17;23;23;2
833;3ZJ2H;16;28;28;12
834;2HNN4;13;7;7;0
835;VGZVK;5;7;7;12
836;DVTW9;30;23;23;14
837;VV2ZC;22;24;24;15
838;FKEJF;13;24;24;12
839;TC734;13;24;24;7
840;EUBT8;18;11;11;1
841;6EEV2;14;27;27;7
842;QYN9M;25;19;19;11
843;MV8EL;20;29;29;8
844;BLWFU;10;29;29;9
845;3ZXZT;28;19;19;15
846;R5DTP;26;9;9;11
847;BPUFB;7;25;25;12
848;LW2YV;22;22;22;14
849;DCHCG;15;18;18;0
850;UETGL;26;25;25;12
851;EAB3Z;15;19;19;10
852;UKVX4;11;20;20;10
853;AZJU6;18;8;8;4
854;K6TBV;22;30;30;0
855;EFXMJ;7;30;30;3
856;67NPE;23;7;7;9
857;ZUE2M;7;28;28;12
858;5MWQB;11;13;13;2
859;RQ2ZA;15;9;9;1
860;XA7GC;25;29;29;14
861;SMJGZ;12;12;12;15
862;TCW7S;13;26;26;5
863;3XD7P;19;19;19;6
864;Q23DH;18;18;18;3
865;4UXUK;13;22;22;11
866;YJLVQ;19;20;20;13
867;PE3YL;6;24;24;10
868;SHPFF;16;18;18;14
869;884B5;25;29;29;8
870;JSWBV;11;10;10;2
871;55GTQ;10;28;28;15
872;SHY55;18;23;23;7
873;EJA89;26;16;16;2
